,AbTest,ID,Property,Test Type,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
276,S_Test7,37,s7,2M,0,100,-1,72,100,100,0,66,0,84,70
277,S_Test7,38,s7,2M,0,100,-1,79,100,100,90,64,0,94,86
278,S_Test7,39,s7,2M,0,100,-1,66,99,100,94,57,0,87,84
280,S_Test7,40,s7,2M,0,100,-1,83,100,100,98,0,0,85,65
281,S_Test7,41,s7,2M,0,100,-1,76,0,100,0,69,0,94,93
282,S_Test7,42,s7,2M,0,100,-1,68,0,100,0,62,0,91,85
283,S_Test7,43,s7,2M,0,100,-1,69,0,100,0,60,0,85,75
289,S_Test8,1,s8,2M,0,100,-1,76,0,100,0,72,4,97,94
298,S_Test8,2,s8,2M,0,100,-1,73,99,100,92,72,0,90,82
309,S_Test8,3,s8,2M,0,100,-1,65,0,100,100,63,0,85,76
319,S_Test8,4,s8,2M,0,100,-1,0,0,100,0,63,0,94,89
324,S_Test8,5,s8,2M,0,100,-1,71,100,100,98,68,13,93,87
325,S_Test8,6,s8,2M,0,100,-1,72,0,100,0,58,0,74,75
326,S_Test8,7,s8,2M,0,0,-1,0,0,0,0,0,0,0,0
327,S_Test8,8,s8,2M,0,0,-1,0,0,0,0,0,0,0,0
328,S_Test8,9,s8,2M,0,0,-1,0,0,0,0,0,0,0,0
290,S_Test8,10,s8,2M,0,100,-1,74,100,100,91,71,0,95,88
291,S_Test8,11,s8,2M,0,100,-1,79,52,100,0,0,0,85,86
292,S_Test8,12,s8,2M,0,100,-1,75,0,100,90,64,0,84,72
293,S_Test8,13,s8,2M,0,100,-1,70,0,100,0,79,22,96,97
294,S_Test8,14,s8,2M,0,100,-1,74,0,100,0,71,0,89,74
295,S_Test8,15,s8,2M,0,100,-1,81,0,100,0,56,0,80,75
296,S_Test8,17,s8,2M,0,100,-1,75,0,100,0,66,0,95,83
297,S_Test8,19,s8,2M,0,0,-1,0,0,0,0,0,0,0,0
299,S_Test8,20,s8,2M,0,0,-1,0,0,0,0,0,0,0,0
300,S_Test8,21,s8,2M,0,0,-1,0,0,0,0,0,0,0,0
301,S_Test8,22,s8,2M,0,100,-1,69,0,100,0,71,0,95,0
302,S_Test8,23,s8,2M,0,100,-1,73,0,100,0,58,0,89,85
303,S_Test8,24,s8,2M,0,100,-1,75,0,100,95,53,0,82,66
304,S_Test8,25,s8,2M,0,0,-1,0,0,0,0,0,0,0,0
305,S_Test8,26,s8,2M,0,0,-1,0,0,0,0,0,0,0,0
306,S_Test8,27,s8,2M,0,0,-1,0,0,0,0,0,0,0,0
307,S_Test8,28,s8,2M,0,0,-1,0,0,0,0,0,0,0,0
308,S_Test8,29,s8,2M,0,0,-1,0,0,0,0,0,0,0,0
310,S_Test8,30,s8,2M,0,0,-1,0,0,0,0,0,0,0,0
311,S_Test8,32,s8,2M,0,0,-1,0,0,0,0,0,0,0,0
312,S_Test8,33,s8,2M,0,0,-1,0,0,0,0,0,0,0,0
313,S_Test8,34,s8,2M,0,0,-1,0,0,0,0,0,0,0,0
314,S_Test8,35,s8,2M,0,100,-1,79,100,100,0,67,0,94,92
315,S_Test8,36,s8,2M,0,100,-1,76,0,100,0,65,0,87,89
316,S_Test8,37,s8,2M,0,100,-1,66,0,100,99,57,0,86,70
317,S_Test8,38,s8,2M,0,100,-1,68,59,100,0,60,0,89,91
318,S_Test8,39,s8,2M,0,100,-1,73,0,100,0,55,0,93,90
320,S_Test8,40,s8,2M,0,100,-1,70,0,100,95,54,0,80,73
321,S_Test8,41,s8,2M,0,0,-1,0,0,0,0,0,0,0,0
322,S_Test8,42,s8,2M,0,0,-1,0,0,0,0,0,0,0,0
323,S_Test8,43,s8,2M,0,0,-1,0,0,0,0,0,0,0,0
329,S_Test9,1,s9,2M,0,0,-1,36,0,0,0,11,15,0,100
340,S_Test9,2,s9,2M,2,0,-1,39,0,0,0,39,41,0,100
351,S_Test9,3,s9,2M,8,0,-1,47,0,0,0,68,81,0,100
362,S_Test9,4,s9,2M,0,0,-1,67,0,0,1,7,3,0,100
370,S_Test9,5,s9,2M,3,0,-1,70,0,0,2,32,59,0,100
371,S_Test9,6,s9,2M,2,0,-1,49,0,0,1,87,13,0,100
372,S_Test9,7,s9,2M,0,0,-1,0,0,0,0,0,16,0,0
373,S_Test9,8,s9,2M,0,0,-1,0,0,0,0,0,4,0,0
374,S_Test9,9,s9,2M,0,0,-1,0,0,0,0,0,1,0,0
330,S_Test9,10,s9,2M,1,0,-1,42,0,0,0,19,43,0,100
331,S_Test9,11,s9,2M,2,0,-1,36,0,0,0,45,6,0,100
332,S_Test9,12,s9,2M,0,0,-1,35,0,0,0,80,1,0,100
333,S_Test9,13,s9,2M,0,0,-1,60,0,0,100,4,20,0,100
334,S_Test9,14,s9,2M,4,0,-1,58,0,0,1,50,53,0,100
335,S_Test9,15,s9,2M,4,0,-1,53,0,0,3,83,21,0,100
336,S_Test9,16,s9,2M,2,0,-1,100,0,0,97,6,100,0,100
337,S_Test9,17,s9,2M,1,0,-1,99,0,0,94,47,17,0,100
338,S_Test9,18,s9,2M,10,0,-1,100,0,0,96,90,97,0,100
339,S_Test9,19,s9,2M,0,0,-1,0,0,0,0,0,4,0,0
341,S_Test9,20,s9,2M,0,0,-1,0,0,0,0,0,2,0,0
342,S_Test9,21,s9,2M,0,0,-1,0,0,0,0,0,3,0,0
343,S_Test9,22,s9,2M,0,0,-1,66,0,0,98,19,9,0,100
344,S_Test9,23,s9,2M,0,0,-1,67,0,0,8,37,5,0,100
345,S_Test9,24,s9,2M,0,0,-1,64,0,0,1,83,8,0,100
346,S_Test9,25,s9,2M,0,0,-1,0,0,0,0,0,9,0,0
347,S_Test9,26,s9,2M,0,0,-1,0,0,0,0,0,2,0,0
348,S_Test9,27,s9,2M,0,0,-1,0,0,0,0,0,1,0,0
349,S_Test9,28,s9,2M,0,0,-1,0,0,0,0,0,25,0,0
350,S_Test9,29,s9,2M,0,0,-1,0,0,0,0,0,6,0,0
352,S_Test9,30,s9,2M,0,0,-1,0,0,0,0,0,4,0,0
353,S_Test9,31,s9,2M,0,0,-1,0,0,0,0,0,99,0,0
354,S_Test9,32,s9,2M,0,0,-1,0,0,0,0,0,6,0,0
355,S_Test9,33,s9,2M,0,0,-1,0,0,0,0,0,3,0,0
356,S_Test9,34,s9,2M,0,0,-1,0,0,0,0,0,1,0,0
357,S_Test9,35,s9,2M,5,0,-1,44,0,0,0,19,97,0,100
358,S_Test9,36,s9,2M,0,0,-1,40,0,0,0,39,4,0,100
359,S_Test9,37,s9,2M,0,0,-1,43,0,0,0,83,4,1,100
360,S_Test9,38,s9,2M,0,0,-1,66,0,0,16,14,14,0,100
361,S_Test9,39,s9,2M,1,0,-1,67,0,0,5,45,8,0,100
363,S_Test9,40,s9,2M,0,0,-1,58,0,0,4,80,5,0,100
364,S_Test9,41,s9,2M,0,0,-1,0,0,0,0,0,3,0,0
365,S_Test9,42,s9,2M,0,0,-1,0,0,0,0,0,3,0,0
366,S_Test9,43,s9,2M,0,0,-1,0,0,0,0,0,1,0,0
367,S_Test9,44,s9,2M,8,0,-1,39,0,0,0,31,98,0,100
368,S_Test9,45,s9,2M,11,0,-1,38,0,0,0,59,97,0,100
369,S_Test9,46,s9,2M,23,0,-1,35,0,0,0,93,98,0,100
46,S_Test2,1,s2,3I,5,100,-1,100,100,100,100,100,100,63,100
73,S_Test2,2,s2,3I,19,100,-1,100,100,100,100,100,99,86,100
106,S_Test2,3,s2,3I,27,100,-1,100,100,100,100,100,94,96,100
136,S_Test2,4,s2,3I,3,100,-1,100,100,100,100,100,99,20,100
151,S_Test2,5,s2,3I,18,100,-1,100,100,100,100,100,99,89,100
154,S_Test2,6,s2,3I,41,100,-1,100,100,100,100,100,100,90,100
157,S_Test2,7,s2,3I,0,0,-1,0,0,0,0,0,99,0,100
160,S_Test2,8,s2,3I,0,0,-1,0,0,0,0,0,98,0,100
163,S_Test2,9,s2,3I,0,0,-1,0,0,0,0,0,99,0,100
49,S_Test2,10,s2,3I,10,100,-1,100,100,100,100,100,98,79,100
52,S_Test2,11,s2,3I,16,100,-1,100,100,100,100,100,97,68,100
55,S_Test2,12,s2,3I,23,100,-1,100,100,100,100,100,98,69,100
58,S_Test2,13,s2,3I,0,100,-1,100,100,100,100,100,96,35,100
61,S_Test2,14,s2,3I,22,100,-1,100,100,100,100,100,98,90,100
64,S_Test2,15,s2,3I,41,100,-1,100,100,100,100,100,97,96,100
67,S_Test2,17,s2,3I,22,100,-1,100,100,100,100,100,97,88,100
70,S_Test2,19,s2,3I,0,0,-1,0,0,0,0,0,98,0,100
76,S_Test2,20,s2,3I,0,0,-1,0,0,0,0,0,99,0,100
79,S_Test2,21,s2,3I,0,0,-1,0,0,0,0,0,100,0,100
82,S_Test2,22,s2,3I,2,100,-1,100,100,100,100,100,100,47,100
85,S_Test2,23,s2,3I,14,100,-1,100,100,100,100,100,98,54,100
88,S_Test2,24,s2,3I,32,100,-1,100,100,100,100,100,98,87,100
91,S_Test2,25,s2,3I,0,0,-1,0,0,0,0,0,98,0,100
94,S_Test2,26,s2,3I,0,0,-1,0,0,0,0,0,100,0,100
97,S_Test2,27,s2,3I,0,0,-1,0,0,0,0,0,100,0,100
100,S_Test2,28,s2,3I,0,0,-1,0,0,0,0,0,99,0,100
103,S_Test2,29,s2,3I,0,0,-1,0,0,0,0,0,100,0,100
109,S_Test2,30,s2,3I,0,0,-1,0,0,0,0,0,100,0,100
112,S_Test2,32,s2,3I,0,0,-1,0,0,0,0,0,100,0,100
115,S_Test2,33,s2,3I,0,0,-1,0,0,0,0,0,99,0,100
118,S_Test2,34,s2,3I,0,0,-1,0,0,0,0,0,100,0,100
121,S_Test2,35,s2,3I,18,100,-1,100,100,100,100,100,93,93,98
124,S_Test2,36,s2,3I,13,100,-1,100,100,100,100,100,99,67,100
127,S_Test2,37,s2,3I,23,100,-1,100,100,100,100,100,98,81,100
130,S_Test2,38,s2,3I,6,100,-1,100,100,100,100,100,99,67,100
133,S_Test2,39,s2,3I,10,100,-1,100,100,100,100,100,98,69,100
139,S_Test2,40,s2,3I,31,100,-1,100,100,100,100,100,98,70,100
142,S_Test2,41,s2,3I,0,0,-1,0,0,0,0,0,100,0,100
145,S_Test2,42,s2,3I,0,0,-1,0,0,0,0,0,97,0,100
148,S_Test2,43,s2,3I,0,0,-1,0,0,0,0,0,100,0,100
47,S_Test2,1,s3,3I,5,1,-1,0,1,100,0,7,63,9,4
74,S_Test2,2,s3,3I,18,0,-1,0,2,100,0,5,81,12,14
107,S_Test2,3,s3,3I,23,0,-1,0,1,100,0,23,82,28,22
137,S_Test2,4,s3,3I,3,0,-1,0,0,100,0,1,75,4,2
152,S_Test2,5,s3,3I,15,0,-1,2,2,100,2,12,72,9,13
155,S_Test2,6,s3,3I,41,1,-1,3,4,100,2,27,70,36,36
158,S_Test2,7,s3,3I,0,0,-1,0,0,0,0,0,59,0,0
161,S_Test2,8,s3,3I,0,0,-1,0,0,0,0,0,67,0,0
164,S_Test2,9,s3,3I,0,0,-1,0,0,0,0,0,58,0,0
50,S_Test2,10,s3,3I,8,0,-1,0,2,100,0,9,67,11,11
53,S_Test2,11,s3,3I,15,0,-1,0,1,100,0,14,73,14,11
56,S_Test2,12,s3,3I,23,0,-1,0,4,100,0,30,77,23,23
59,S_Test2,13,s3,3I,0,1,-1,0,0,100,0,1,63,1,3
62,S_Test2,14,s3,3I,19,0,-1,0,1,100,0,13,66,14,23
65,S_Test2,15,s3,3I,40,0,-1,0,1,100,0,35,76,33,31
68,S_Test2,17,s3,3I,20,0,-1,1,5,100,0,18,66,13,16
71,S_Test2,19,s3,3I,0,0,-1,0,0,0,0,0,73,0,0
77,S_Test2,20,s3,3I,0,0,-1,0,0,0,0,0,60,0,0
80,S_Test2,21,s3,3I,0,0,-1,0,0,0,0,0,66,0,0
83,S_Test2,22,s3,3I,2,0,-1,0,2,100,3,4,73,5,3
86,S_Test2,23,s3,3I,14,0,-1,1,3,100,0,13,63,10,13
89,S_Test2,24,s3,3I,32,0,-1,0,3,100,2,38,75,32,43
92,S_Test2,25,s3,3I,0,0,-1,0,0,0,0,0,66,0,0
95,S_Test2,26,s3,3I,0,0,-1,0,0,0,0,0,68,0,0
